%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	1	0x0400000000004000	1714937690.477782000	1714937690.480283000	0.002501000	1	3	eth:ipv4:tcp	08:00:27:e8:1b:90	00:93:37:dd:c5:43	0x0800		192.168.1.156	07	"Private network"	61140	192.168.1.134	07	"Private network"	2404	6	0x00	1	08:00:27:e8:1b:90_00:93:37:dd:c5:43_2	PcsSystem,US_-	2404	iec-104	2	1	0	0	0	0	0	0	0	0.002501	0.0012505	0.001768474	799.6801	0	0.3333333	0	0x0011	43901	0	38	64	1	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2406888516	0	0	0	0	0	0	0	1024	716.8	0	1024	1	0	0	0	0x0006	0x3000	1	1	0x00000004	1460	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.002472992	0.002472992	0.002472992	0.002472992	0	0.002500992	0	0x43	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	2	2	2	1	2	0
B	1	0x0400000000004001	1714937690.480255000	1714937690.480255000	0.000000000	1	3	eth:ipv4:tcp	00:93:37:dd:c5:43	08:00:27:e8:1b:90	0x0800		192.168.1.134	07	"Private network"	2404	192.168.1.156	07	"Private network"	61140	6	0x00	1	00:93:37:dd:c5:43_08:00:27:e8:1b:90_1	-_PcsSystem,US	2404	iec-104	1	2	0	0	0	0	0	0	0	0	0	0	0	0	-0.3333333	0	0x0011	65535	0	128	128	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2241324207	1	0	0	1	0	0	0	64240	64240	64240	64240	0	0	0	0	0x0212	0x2000	1	1	0x00000004	1460	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	2.8e-05	2.8e-05	2.8e-05	2.8e-05	0	0.002500992	0	0x03	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	1	1	1	1	1	0
A	2	0x0400000000004000	1714937690.693756000	1714937701.724516000	11.030760000	1	3	eth:ipv4:tcp	08:00:27:e8:1b:90	00:93:37:dd:c5:43	0x0800		192.168.1.156	07	"Private network"	51786	192.168.1.134	07	"Private network"	2404	6	0x00	1	08:00:27:e8:1b:90_00:93:37:dd:c5:43_5	PcsSystem,US_-	2404	iec-104	5	4	4	0	0	4	0.8	1.937926	0	6.019019	2.206152	3.248351	0.4532779	0.3626224	0.1111111	1	0x0a13	53464	1	64	64	0	0x00	0x0844	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1095904335	4	4	0	4	0	0	4	32120	32126.08	32120	32128	0	1	1	0	0x011b	0x0000	5	17	0x0000011e	1460	128	0x0000	0x00	0	0x00	3900138851	39283037	0.001	3900139.036247	1711037562.688269345	0.003415936	0.00223296	0.04244896	0.01315646	0.02282763	0.003449984	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	6	6	6	1	15	44
B	2	0x0400000000004001	1714937690.697172000	1714937701.724497000	11.027325000	1	3	eth:ipv4:tcp	00:93:37:dd:c5:43	08:00:27:e8:1b:90	0x0800		192.168.1.134	07	"Private network"	2404	192.168.1.156	07	"Private network"	51786	6	0x00	1	00:93:37:dd:c5:43_08:00:27:e8:1b:90_4	-_PcsSystem,US	2404	iec-104	4	5	0	4	0	0	0	0	0	6.061502	2.756831	3.673087	0.3627353	0	-0.1111111	-1	0x0a13	1	2	128	128	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	4158776738	4	0	0	4	4	0	0	65535	1400812	65535	2097920	0	1	1	0	0x0313	0x0000	4	14	0x0000011e	1460	256	0x0000	0x00	0	0x00	39283037	3900138847	0.001	39283.038866	1714898418.685631156	3.4048e-05	1.8944e-05	6.019053	2.196087	3.240236	2.209244	3.240316	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	5	5	5	1	16	744
A	5	0x0400000000004000	1714937701.720065000	1714937706.740203000	5.020138000	1	3	eth:ipv4:tcp	08:00:27:e8:1b:90	00:93:37:dd:c5:43	0x0800		192.168.1.156	07	"Private network"	57922	192.168.1.134	07	"Private network"	2404	6	0x00	1	08:00:27:e8:1b:90_00:93:37:dd:c5:43_5	PcsSystem,US_-	2404	iec-104	5	4	18	0	0	18	3.6	8.720665	0	5.011747	1.004028	2.309368	0.9959886	3.585559	0.1111111	1	0x0a13	55569	1	64	64	0	0x00	0x0844	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3748060281	4	18	0	4	0	0	18	32120	32126.08	32120	32128	0	1	1	0	0x011b	0x0000	5	17	0x0000011e	1460	128	0x0000	0x00	0	0x00	3900143867	39288052	0.001	3900144.052247	1711037562.687956107	0.002576	0.002576	0.04433504	0.01441851	0.02354146	0.002626944	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	6	6	6	1	20	66
B	5	0x0400000000004001	1714937701.722641000	1714937706.740179000	5.017538000	1	3	eth:ipv4:tcp	00:93:37:dd:c5:43;43:c5:dd:37:93:00	08:00:27:e8:1b:90	0x0800		192.168.1.134	07	"Private network"	2404	192.168.1.156	07	"Private network"	57922	6	0x00	2	00:93:37:dd:c5:43_08:00:27:e8:1b:90_3;43:c5:dd:37:93:00_08:00:27:e8:1b:90_1	-_PcsSystem,US;-_PcsSystem,US	2404	iec-104	4	5	0	18	0	0	0	0	0	4.972553	1.254384	2.612595	0.7972037	0	-0.1111111	-1	0x0a13	1	2	128	128	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3189647563	4	0	0	4	18	0	0	65535	1400812	65535	2097920	0	1	1	0	0x0313	0x0000	4	14	0x0000011e	1460	256	0x0000	0x00	0	0x00	39288052	3900143861	0.001	39288.053866	1714898418.686312918	5.0944e-05	2.4e-05	4.967412	0.9935414	2.289829	1.00796	2.28995	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	5	5	5	1	20	744
A	6	0x0400000000004000	1714937706.734651000	1714937711.753385000	5.018734000	1	3	eth:ipv4:tcp	08:00:27:e8:1b:90	00:93:37:dd:c5:43	0x0800		192.168.1.156	07	"Private network"	57932	192.168.1.134	07	"Private network"	2404	6	0x00	1	08:00:27:e8:1b:90_00:93:37:dd:c5:43_5	PcsSystem,US_-	2404	iec-104	5	4	22	0	0	22	4.4	10.65859	0	5.006492	1.003747	2.306507	0.9962672	4.383575	0.1111111	1	0x0a13	3465	1	64	64	0	0x00	0x0844	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3671461489	4	22	0	4	0	0	22	32120	32126.08	32120	32128	0	1	1	0	0x011b	0x0000	5	17	0x0000011e	1460	128	0x0000	0x00	0	0x00	3900148880	39293065	0.001	3900149.065247	1711037562.688137869	0.005046016	0.005046016	0.047072	0.01634626	0.02404997	0.005089984	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	6	6	6	1	25	110
B	6	0x0400000000004001	1714937706.739697000	1714937711.753356000	5.013659000	1	3	eth:ipv4:tcp	43:c5:dd:37:93:00;00:93:37:dd:c5:43	08:00:27:e8:1b:90	0x0800		192.168.1.134	07	"Private network"	2404	192.168.1.156	07	"Private network"	57932	6	0x00	2	43:c5:dd:37:93:00_08:00:27:e8:1b:90_1;00:93:37:dd:c5:43_08:00:27:e8:1b:90_3	-_PcsSystem,US;-_PcsSystem,US	2404	iec-104	4	5	0	22	0	0	0	0	0	4.965625	1.253415	2.608405	0.7978205	0	-0.1111111	-1	0x0a13	1	3	128	128	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	222489828	4	0	0	4	22	0	0	65535	1400812	65535	2097920	0	1	1	0	0x0313	0x0000	4	14	0x0000011e	1460	256	0x0000	0x00	0	0x00	39293065	3900148873	0.001	39293.066866	1714898418.686489680	4.3968e-05	2.8992e-05	4.95942	0.9919283	2.286154	1.008275	2.28628	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	5	5	5	1	24	744
A	7	0x0400000000004000	1714937711.746390000	1714937716.765488000	5.019098000	1	3	eth:ipv4:tcp	08:00:27:e8:1b:90	00:93:37:dd:c5:43	0x0800		192.168.1.156	07	"Private network"	40784	192.168.1.134	07	"Private network"	2404	6	0x00	1	08:00:27:e8:1b:90_00:93:37:dd:c5:43_5	PcsSystem,US_-	2404	iec-104	5	4	22	0	0	22	4.4	10.65859	0	5.007645	1.00382	2.307134	0.996195	4.383258	0.1111111	1	0x0a13	14622	1	64	64	0	0x00	0x0844	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1392868090	4	22	0	4	0	0	22	32120	32126.08	32120	32128	0	1	1	0	0x011b	0x0000	5	17	0x0000011e	1460	128	0x0000	0x00	0	0x00	3900153892	39298076	0.001	3900154.077247	1711037562.688240631	0.003937984	0.003672	0.04347399	0.014616	0.02268005	0.00397696	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	6	6	6	1	30	142
B	7	0x0400000000004001	1714937711.750328000	1714937716.765457000	5.015129000	1	3	eth:ipv4:tcp	00:93:37:dd:c5:43	08:00:27:e8:1b:90	0x0800		192.168.1.134	07	"Private network"	2404	192.168.1.156	07	"Private network"	40784	6	0x00	1	00:93:37:dd:c5:43_08:00:27:e8:1b:90_4	-_PcsSystem,US	2404	iec-104	4	5	0	22	0	0	0	0	0	4.967843	1.253782	2.609763	0.7975866	0	-0.1111111	-1	0x0a13	1	3	128	128	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3948310143	4	0	0	4	22	0	0	65535	1400812	65535	2097920	0	1	1	0	0x0313	0x0000	4	14	0x0000011e	1460	256	0x0000	0x00	0	0x00	39298076	3900153885	0.001	39298.077867	1714898418.687590442	3.8976e-05	3.0976e-05	4.964171	0.9928768	2.288345	1.007493	2.288457	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	5	5	5	1	31	1254
